Time_Now,Blanking_Util,Blanking_SKU1_Queue,Blanking_SKU2_Queue,Blanking_SKU3_Queue,Blanking_SKU4_Queue,Press1_Util,Press2_Util,Press3_Util,Press4_Util,Press1_Queue,Press2_Queue,Press3_Queue,Press4_Queue,Cell1_Util,Cell2_Util,Cell3_Util,Cell4_Util,Cell1_Queue,Cell2_Queue,Cell3_Queue,Cell4_Queue,Warehouse1_Queue,Warehouse_2_Queue,Warehouse_3_Queue,Warehouse_4_Queue,c_Cycle1,c_Cycle2,c_Cycle3,c_Cycle4,c_Cell1_SKU1,c_Cell1__SKU2,c_Cell1__SKU3,c_Cell1__SKU4,c_Cell2__SKU1,c_Cell2__SKU2,c_Cell2__SKU3,c_Cell2__SKU4,c_Cell3__SKU1,c_Cell3__SKU2,c_Cell3__SKU3,c_Cell3__SKU4,c_Cell4__SKU1,c_Cell4__SKU2,c_Cell4__SKU3,c_Cell4__SKU4,Paint1_Util,Paint2_Util,Quality_Util,Paint1_Queue,Paint2_Queue,Quality_Queue,Forklift_Util,Forklift_Blanking_Queue,Forklift_Press_Queue,Forklift_Assembly_Queue,c_TotalProducts,SKU1_VA_Time,SKU1_NVA_Time,SKU1_Transport_Time,SKU1_Wait_Time,SKU1_Other_Time,SKU2_VA_Time,SKU2_NVA_Time,SKU2_Transport_Time,SKU2_Wait_Time,SKU2_Other_Time,SKU3_VA_Time,SKU3_NVA_Time,SKU3_Transport_Time,SKU3_Wait_Time,SKU3_Other_Time,SKU4_VA_Time,SKU4_NVA_Time,SKU4_Transport_Time,SKU4_Wait_Time,SKU4_Other_Time,Blanking_Queue
24,0.86035,0.040964,0.044443,0.050124,0.061001,0.37331,0.407433,0.497152,0.507858,52.986656,60.296285,72.695649,66.594753,0.855657,0.754919,0.733934,0.848492,0,0,0,0,113.565512,16.836967,92.317069,88.177989,20573,14620,16915,45400,12907,10210,0,6794,0,2649,0,5335,0,950,4894,0,0,0,12190,5067,0.491926,0.516821,0.447456,0,0,47.668413,0.646292,151.865631,135.469697,132.385966,56235,1.525685,0,0.540632,0.632688,0,1.522791,0,0.529037,0.422714,0,1.52501,0,0.537716,0.481015,0,1.523303,0,0.533051,0.462087,0,66.777118
24,0.854521,0.061012,0.048907,0.037415,0.048475,0.511475,0.434697,0.340867,0.475951,96.077228,57.906029,33.280957,58.276613,0.907014,0.724777,0.572473,0.785965,0,0,0,0,305.400891,17.400609,35.774045,84.50766,26588,15343,11434,41985,17160,10582,0,2302,0,2763,0,4928,0,1456,3351,0,0,0,8346,8678,0.486125,0.502254,0.438461,0,0,49.196813,0.591387,158.90153,145.548532,143.487722,55105,1.525591,0,0.536547,0.841084,0,1.522814,0,0.538609,0.415585,0,1.525078,0,0.536029,0.412058,0,1.52334,0,0.534997,0.461804,0,63.503793
24,0.854475,0.047628,0.049228,0.049699,0.038743,0.45753,0.433387,0.489191,0.379729,70.123028,59.112605,72.688407,46.304348,0.877993,0.648144,0.732904,0.833245,0,0,0,0,189.354995,18.835669,138.267005,71.895915,24847,15668,16391,35331,15441,10918,0,3349,0,2868,0,4056,0,1157,4751,0,0,0,11820,5179,0.484715,0.502808,0.43514,0,0,49.04651,0.602689,163.968758,143.670536,142.756072,54688,1.525662,0,0.538888,0.7392,0,1.522831,0,0.538959,0.432625,0,1.524973,0,0.534995,0.51653,0,1.523341,0,0.537359,0.459866,0,64.362791
24,0.859335,0.037469,0.058675,0.050043,0.048927,0.408959,0.482214,0.446839,0.440202,67.460049,66.334583,54.790934,57.12396,0.869761,0.691563,0.69198,0.810029,0,0,0,0,191.325413,19.86351,69.356437,101.652519,22469,17207,15210,40659,13372,11997,0,5113,0,3124,0,4272,0,1198,4417,0,0,0,11026,5668,0.492529,0.510156,0.444063,0,0,47.70178,0.61956,160.399743,142.23212,137.862905,55797,1.525577,0,0.535797,0.769136,0,1.522848,0,0.536285,0.422654,0,1.525055,0,0.535291,0.464528,0,1.523309,0,0.534318,0.497894,0,67.251273
24,0.843122,0.048022,0.043816,0.046789,0.050219,0.452341,0.450594,0.41465,0.388504,77.526995,61.96123,54.348174,35.644685,0.878469,0.644746,0.641949,0.775584,0,0,0,0,187.907223,18.909311,79.591829,63.500399,25293,15974,13878,36113,15462,11099,0,3186,0,2931,0,3967,0,1181,4052,0,0,0,10092,6054,0.470205,0.494347,0.427915,0,0,48.319443,0.589475,158.459675,138.338798,141.838704,53778,1.52561,0,0.537554,0.737055,0,1.522792,0,0.536704,0.408853,0,1.525115,0,0.538523,0.513888,0,1.523427,0,0.536524,0.436413,0,57.574362
24,0.855455,0.057,0.044798,0.04603,0.046845,0.490213,0.354563,0.463064,0.43805,95.463675,39.071828,54.240292,69.447636,0.884227,0.686942,0.647111,0.842648,0,0,0,0,180.250169,13.678943,71.178985,79.395553,24004,12863,15051,39094,16570,9030,0,3613,0,2402,0,4863,0,707,4399,0,0,0,10900,6661,0.481461,0.504819,0.437962,0,0,47.443315,0.602851,154.72467,140.93229,140.50981,55049,1.525577,0,0.535548,0.698312,0,1.522915,0,0.535301,0.388634,0,1.525065,0,0.537592,0.453141,0,1.523345,0,0.535107,0.501954,0,63.776043
24,0.845337,0.056009,0.032816,0.057964,0.044046,0.494485,0.357794,0.435641,0.426541,91.429593,37.780818,68.128293,45.014065,0.86759,0.709238,0.641196,0.8139,0,0,0,0,180.997791,14.077447,120.12229,80.343465,23626,12924,14573,41237,16469,9014,0,3100,0,2359,0,5125,0,880,4242,0,0,0,10530,6434,0.471847,0.500069,0.43228,0,0,48.156064,0.596488,156.328006,142.172389,140.392756,54267,1.525612,0,0.537922,0.720227,0,1.522815,0,0.535169,0.392179,0,1.525149,0,0.534429,0.585447,0,1.523371,0,0.536797,0.467974,0,59.474879
24,0.850555,0.044129,0.052121,0.050403,0.053166,0.351379,0.480297,0.498038,0.415767,53.030556,60.737849,82.027096,40.06517,0.827674,0.682339,0.738345,0.841177,0,0,0,0,126.895788,22.464277,108.176401,58.922619,21319,17610,17035,40544,12037,12376,0,5021,0,3223,0,4092,0,944,4932,0,0,0,12277,4761,0.483525,0.505703,0.439682,0,0,46.753511,0.622479,145.71586,139.170986,134.293443,55251,1.525637,0,0.532849,0.677646,0,1.5228,0,0.535288,0.411363,0,1.524975,0,0.537739,0.534654,0,1.523428,0,0.53395,0.412165,0,61.646713
24,0.85058,0.04907,0.046239,0.052236,0.044883,0.417233,0.404601,0.4804,0.43303,61.638286,47.1592,58.270548,48.049577,0.851363,0.725599,0.688463,0.818919,0,0,0,0,134.47756,16.297555,66.3836,68.248637,22283,14770,15770,42342,14330,10392,0,4364,0,2707,0,4985,0,887,4593,0,0,0,11419,5360,0.482593,0.50058,0.434747,0,0,46.841712,0.620423,159.272491,136.766044,134.137911,54648,1.525664,0,0.535601,0.648697,0,1.522809,0,0.53991,0.407789,0,1.524978,0,0.53618,0.436289,0,1.52344,0,0.538039,0.450093,0,61.230316
24,0.851283,0.043249,0.038973,0.046452,0.05584,0.443371,0.409119,0.428542,0.455927,85.685014,59.78457,51.271797,55.609837,0.868097,0.68965,0.651361,0.813285,0,0,0,0,214.062473,17.652154,57.753025,112.232601,22755,14865,14359,41602,14926,10335,0,4216,0,2713,0,4616,0,1091,4182,0,0,0,10384,6616,0.478494,0.5069,0.435259,0,0,47.821919,0.608978,151.983395,141.121519,135.65562,54698,1.525607,0,0.536919,0.809622,0,1.522828,0,0.537654,0.406655,0,1.525033,0,0.536035,0.441775,0,1.52339,0,0.535836,0.508826,0,60.362021
